loyalty_member_id,email,first_name,last_name,phone,tier,points,join_date,email_optin
LM-N0041,juliette.rodrigues.new040@example.com,Juliette,Rodrigues,(880) 320-1240,Bronze,95,2026-07-19T00:00:00Z,true
LM-N0042,kathryn.perez.new041@example.com,Kathryn,Perez,887-333-1271,Bronze,481,2026-07-28T00:00:00Z,true
LM-N0043,emily.ibarra.new042@example.com,Emily,Ibarra,8943461302,Bronze,0,2026-07-05T00:00:00Z,true
LM-N0044,anna.daniel.new043@example.com,Anna,Daniel,+19013591333,Bronze,263,2026-07-17T00:00:00Z,true
LM-N0045,janet.peterson.new044@example.com,Janet,Peterson,(908) 372-1364,Bronze,182,2026-07-04T00:00:00Z,true
LM-N0046,audrey.howard.new045@example.com,Audrey,Howard,915-385-1395,Bronze,415,2026-07-31T00:00:00Z,true
LM-N0047,kimberly.mcdaniel.new046@example.com,Kimberly,Mcdaniel,9223981426,Bronze,343,2026-07-24T00:00:00Z,true
LM-N0048,lindsay.wood.new047@example.com,Lindsay,Wood,+19294111457,Bronze,55,2026-07-08T00:00:00Z,true
LM-N0049,veronica.clements.new048@example.com,Veronica,Clements,(936) 424-1488,Bronze,208,2026-07-30T00:00:00Z,true
LM-N0050,eduardo.allen.new049@example.com,Eduardo,Allen,943-437-1519,Bronze,294,2026-07-13T00:00:00Z,true
