loyalty_member_id,email,first_name,last_name,phone,tier,points,join_date,email_optin
LM-00033,mark.stanley.000046@example.com,Mark,Stanley,5227981426,Gold,25212,17-Oct-2023,true
LM-00034,francisca.barnett.000047@example.com,Francisca,Barnett,+15298111457,Gold,49864,14-May-2025,true
LM-00035,bernard.scott.000048@example.com,Bernard,Scott,(536) 824-1488,Gold,55231,16-Apr-2024,true
LM-00036,robert.quinn.000049@example.com,Robert,Quinn,543-837-1519,Gold,72876,22-Dec-2024,true
LM-00037,jeffrey.cardoso.000050@example.com,Jeffrey,Cardoso,5508501550,Platinum,102696,23-Aug-2024,true
LM-00038,bobby.haro.000055@example.com,Bobby,Haro,+15859151705,Gold,36029,02-Jan-2023,true
LM-00039,cory.dube.000057@example.com,Cory,Dube,599-941-1767,Gold,28039,15-Jun-2025,true
LM-00040,victoria.ruiz.000058@example.com,Victoria,Ruiz,6069541798,Gold,62449,21-Nov-2022,true
LM-00041,,Kristine,da Cunha,+16139671829,Gold,53169,29-Jun-2025,true
LM-00042,gary.orta.000061@example.com,Gary,Orta,627-993-1891,Gold,11270,12-Feb-2025,true
LM-00043,kiara.adkins.000062@example.com,Kiara,Adkins,6342061922,Gold,19782,27-Apr-2024,false
LM-00044,dylan.lira.000063@example.com,Dylan,Lira,,Gold,8667,06-Feb-2025,true
LM-00045,timothy.higgins.000064@example.com,Timothy,Higgins,(648) 232-1984,Gold,1423,19-Apr-2025,true
LM-00046,justin.garcia.000065@example.com,Justin,Garcia,655-245-2015,Gold,48911,05-Dec-2022,true
LM-00047,cathy.pacheco.000066@example.com,Cathy,Pacheco,6622582046,Gold,40054,23-Dec-2022,true
LM-00048,candace.carrasco.000068@example.com,Candace,Carrasco,(676) 284-2108,Gold,54090,28-Sep-2023,true
LM-00049,alexis.rodrigues.000071@example.com,Alexis,Rodrigues,+16973232201,Gold,18089,11-Feb-2024,true
LM-00050,austin.mann.000072@example.com,Austin,Mann,(704) 336-2232,Gold,9606,28-Sep-2022,false
LM-00051,tyler.bell.000073@example.com,Tyler,Bell,711-349-2263,Gold,20599,11-May-2023,true
LM-00052,katelyn.lara.000075@example.com,Katelyn,Lara,+17253752325,Gold,36850,11-Oct-2022,true
LM-00053,lori.wilkerson.000076@example.com,Lori,Wilkerson,(732) 388-2356,Gold,43918,30-Sep-2023,true
LM-00054,kim.berry.000079@example.com,Kim,Berry,+17534272449,Gold,52279,31-Jan-2024,true
LM-00055,derek.boyer.000080@example.com,Derek,Boyer,n/a,Platinum,78003,11-Jul-2025,true
LM-00056,philip.maldonado.000081@example.com,Philip,Maldonado,767-453-2511,Gold,21668,25-Oct-2022,true
LM-00057,jimenez.rufino.000083@example.com,Rufino,Jimenez,+17814792573,Gold,9482,13-Aug-2024,true
LM-00058,collin.gutierrez.000085@example.com,Collin,Gutierrez,795-505-2635,Gold,32628,12-Jun-2024,true
LM-00059,emilia.decker.000089@example.com,Emilia,Decker,823-557-2759,Gold,64857,05-Aug-2023,true
LM-00060,jennifer.sangha.000091@example.com,Jennifer,Sangha,+18375832821,Gold,11954,21-Feb-2025,true
LM-00061,,Julie,Walker,(844) 596-2852,Gold,5329,04-Feb-2025,true
LM-00062,luizfelipe.lee.000093@example.com,Luiz Felipe,Lee,851-609-2883,Gold,12130,13-Nov-2022,true
LM-00063,estela.diaz.000096@example.com,Estela,Diaz,(872) 648-2976,Gold,46960,19-Dec-2022,true
LM-00064,tracy.richard.000097@example.com,Tracy,Richard,879-661-3007,Gold,33748,14-Sep-2023,true
LM-00065,gerardo.jhaveri.000098@example.com,Gerardo,Jhaveri,8866743038,Gold,72997,29-Jan-2025,true
LM-00066,armando.tran.000101@example.com,Armando,Tran,907-713-3131,Gold,2339,03-Feb-2025,true
LM-00067,gregorio.bowers.000102@example.com,Gregorio,Bowers,N/A,Gold,19960,18-Oct-2023,true
LM-00068,veronica.jacobs.000103@example.com,Veronica,Jacobs,+19217393193,Gold,20806,25-Dec-2023,true
LM-00069,cherzl.rocha.000104@example.com,Cheryl,Rocha,(928) 752-3224,Gold,5607,24-Sep-2022,true
LM-00070,nikita.lozano.000105@example.com,Nikita,Lozano,935-765-3255,Gold,42502,04-Sep-2024,true
LM-00071,felipe.patla.000107@example.com,Felipe,Patla,+19497913317,Gold,33021,18-May-2024,true
LM-00072,warinder.georges.000109@example.com,Warinder,Georges,963-817-3379,Gold,65147,27-Mar-2023,true
LM-00073,renato.perez.000110@example.com,Renato,Perez,9708303410,Platinum,99867,10-Apr-2024,true
LM-00074,gonzalo.melgar.000111@example.com,Gonzalo,Melgar,+19778433441,Gold,25000,31-Jan-2025,true
LM-00075,emiliano.dawson.000112@example.com,Emiliano,Dawson,(984) 856-3472,Gold,20971,30-Jan-2025,true
LM-00076,craig.evans.000113@example.com,Craig,Evans,991-869-3503,Gold,22549,30-Dec-2022,true
LM-00077,zayyan.mcintosh.000114@example.com,Zayyan,Mcintosh,9988823534,Gold,18250,15-Jan-2023,true
LM-00078,dalbir.petersen.000116@example.com,Dalbir,Petersen,(212) 908-3596,Gold,47433,30-Jul-2024,true
LM-00079,megan.guzman.000117@example.com,Megan,Guzman,219-921-3627,Gold,35626,13-Nov-2023,true
LM-00080,scott.dennis.000118@example.com,Scott,Dennis,2269343658,Gold,51832,22-Jan-2024,false
LM-00081,,Bryan,Ashley,+12339473689,Gold,57505,15-Aug-2022,true
LM-00082,anastasie.fleming.000120@example.com,Anastasie,Fleming,(240) 960-3720,Platinum,77103,18-Jan-2023,true
LM-00083,shawn.eaton.000121@example.com,Shawn,Eaton,247-973-3751,Gold,10336,16-Jun-2023,false
LM-00084,linda.underwood.000123@example.com,Linda,Underwood,,Gold,8773,18-Feb-2024,true
LM-00085,jon.floyd.000125@example.com,Jon,Floyd,275-225-3875,Gold,31913,20-Jun-2023,true
LM-00086,desiree.meyers.000126@example.com,Desiree,Meyers,2822383906,Gold,43585,02-Apr-2025,false
LM-00087,brittany.velasquez.000127@example.com,Brittany,Velasquez,+12892513937,Gold,48524,09-Dec-2022,false
LM-00088,joanna.toledo.000131@example.com,Joanna,Toledo,+13173034061,Gold,16358,13-Oct-2024,true
LM-00089,caroline.fonseca.000132@example.com,Caroline,Fonseca,(324) 316-4092,Gold,12964,15-Apr-2025,false
LM-00090,taylor.zamora.000133@example.com,Taylor,Zamora,331-329-4123,Gold,21064,21-Dec-2022,true
LM-00091,erik.almanza.000134@example.com,Erik,Almanza,,Gold,15035,22-Feb-2025,true
LM-00092,kevin.fowler.000136@example.com,Kevin,Fowler,(352) 368-4216,Gold,33679,24-Feb-2024,true
LM-00093,chris.mojica.000137@example.com,Chris,Mojica,359-381-4247,Gold,29575,26-Aug-2024,true
LM-00094,kara.darocha.000138@example.com,Kara,da Rocha,N/A,Gold,58081,05-Jan-2024,true
LM-00095,tyrone.hahn.000139@example.com,Tyrone,Hahn,+13734074309,Gold,74411,22-Feb-2024,true
LM-00096,alicia.archer.000140@example.com,Alicia,Archer,(380) 420-4340,Platinum,111789,13-Jul-2023,true
LM-00097,jesse.rhodes.000141@example.com,Jesse,Rhodes,387-433-4371,Gold,17661,26-Sep-2023,true
LM-00098,darrell.fernandes.000143@example.com,Darrell,Fernandes,+14014594433,Gold,24478,09-Jul-2025,true
LM-00099,alyssa.leblanc.000144@example.com,Alyssa,Leblanc,(408) 472-4464,Gold,19155,17-Dec-2022,true
LM-00100,holly.perea.000145@example.com,Holly,Perea,415-485-4495,Gold,39038,03-Dec-2024,true
LM-00101,,Shari,Cohen,+14295114557,Gold,38087,07-Sep-2023,true
LM-00102,clayton.aguayo.000148@example.com,Clayton,Aguayo,(436) 524-4588,Gold,61861,22-Jun-2024,true
LM-00103,ibarra.tiffany.000149@example.com,Tiffany,Ibarra,443-537-4619,Gold,57186,03-Apr-2024,true
LM-00104,andre.young.000150@example.com,Andre,Young,4505504650,Platinum,84065,10-Sep-2022,true
LM-00105,sheena.gibson.000151@example.com,Sheena,Gibson,+14575634681,Gold,16696,27-May-2023,true
LM-00106,alfred.sweeney.000152@example.com,Alfred,Sweeney,(464) 576-4712,Gold,16171,22-Dec-2024,true
LM-00107,vincent.rubio.000154@example.com,Vincent,Rubio,4786024774,Gold,24765,30-Mar-2024,true
LM-00108,gabrielle.spencer.000155@example.com,Gabrielle,Spencer,+14856154805,Gold,26543,13-Jun-2024,true
LM-00109,susan.murphy.000156@example.com,Susan,Murphy,(492) 628-4836,Gold,28592,11-Dec-2024,true
LM-00110,leslie.gamble.000157@example.com,Leslie,Gamble,499-641-4867,Gold,30008,30-May-2025,true
LM-00111,gaurang.kim.000159@example.com,Gaurang,Kim,N/A,Gold,55242,15-Mar-2025,true
LM-00112,magdalena.beck.000161@example.com,Magdalena,Beck,,Gold,13833,18-Jun-2024,false
LM-00113,andrea.stevens.000162@example.com,Andrea,Stevens,5347065022,Gold,19543,10-Feb-2024,true
LM-00114,mariano.harper.000163@example.com,Mariano,Harper,n/a,Gold,2081,13-Apr-2024,true
LM-00115,pablo.mccormick.000164@example.com,Pablo,Mccormick,(548) 732-5084,Gold,12608,26-Apr-2024,false
LM-00116,nicholas.hernandez.000167@example.com,Nicholas,Hernandez,+15697715177,Gold,40337,26-Jul-2024,true
LM-00117,tracey.sanchez.000168@example.com,Tracey,Sanchez,(576) 784-5208,Gold,67338,02-Apr-2025,true
LM-00118,jessica.guevara.000169@example.com,Jessica,Guevara,583-797-5239,Gold,58238,28-Aug-2022,true
LM-00119,ignacio.vigil.000170@example.com,Ignacio,Vigil,5908105270,Platinum,111256,06-Jun-2025,true
LM-00120,juliette.jurado.000171@example.com,Juliette,Jurado,+15978235301,Gold,376,30-Mar-2025,true
LM-00121,,George,Gracia,(604) 836-5332,Gold,22291,03-Mar-2025,true
LM-00122,lindsay.henderson.000174@example.com,Lindsay,Henderson,6188625394,Gold,3753,08-Jul-2023,false
LM-00123,selena.mckay.000178@example.com,Selena,Mckay,6469145518,Gold,58743,29-Jan-2025,true
LM-00124,marcela.nunez.000179@example.com,Marcela,Nunez,+16539275549,Gold,71003,08-Nov-2024,true
LM-00125,daniel.wolfe.000180@example.com,Daniel,Wolfe,(660) 940-5580,Platinum,97293,28-Jun-2023,true
LM-00126,mitchell.keith.000181@example.com,Mitchell,Keith,667-953-5611,Gold,3655,18-Dec-2023,true
LM-00127,reynaldo.ortiz.000182@example.com,Reynaldo,Ortiz,6749665642,Gold,9617,27-Nov-2023,true
LM-00128,melinda.regalado.000183@example.com,Melinda,Regalado,+16819795673,Gold,14246,18-Apr-2024,true
LM-00129,rebecca.campos.000184@example.com,Rebecca,Campos,(688) 992-5704,Gold,5182,30-Sep-2024,false
LM-00130,charlotte.madrigal.000185@example.com,Charlotte,Madrigal,695-205-5735,Gold,39867,14-Jun-2024,true
LM-00131,citlali.daniel.000188@example.com,Citlali,Daniel,(716) 244-5828,Gold,73582,19-Mar-2025,true
LM-00132,todd.moon.000192@example.com,Todd,Moon,(744) 296-5952,Gold,5854,19-Mar-2025,false
LM-00133,enzogabriel.garrett.000193@example.com,Enzo Gabriel,Garrett,751-309-5983,Gold,16635,20-Feb-2025,true
LM-00134,joe.ho.000194@example.com,Joe,Ho,7583226014,Gold,3486,01-May-2024,false
LM-00135,melanie.ferguson.000195@example.com,Melanie,Ferguson,+17653356045,Gold,45489,10-Dec-2024,true
LM-00136,frederick.richardson.000197@example.com,Frederick,Richardson,779-361-6107,Gold,45937,28-Sep-2023,true
LM-00137,kendra.jenkins.000198@example.com,Kendra,Jenkins,7863746138,Gold,66635,16-Jun-2024,true
LM-00138,douglas.glass.000200@example.com,Douglas,Glass,(800) 400-6200,Platinum,88035,16-Mar-2024,true
LM-00139,beverly.burns.000201@example.com,Beverly,Burns,,Gold,5008,28-Apr-2025,true
LM-00140,sean.kelly.000202@example.com,Sean,Kelly,,Gold,12252,14-Sep-2023,true
LM-00141,,Marcus,Malone,+18214396293,Gold,24985,03-Mar-2023,true
LM-00142,zachary.grijalva.000209@example.com,Zachary,Grijalva,863-517-6479,Gold,60621,17-Oct-2023,true
LM-00143,sherry.duncan.000210@example.com,Sherry,Duncan,8705306510,Platinum,107021,08-Feb-2023,true
LM-00144,jake.hickman.000211@example.com,Jake,Hickman,+18775436541,Gold,50000,03-Jun-2023,true
LM-00145,clifford.wright.000212@example.com,Clifford,Wright,(884) 556-6572,Gold,3665,31-Jan-2025,true
LM-00146,ellen.fabre.000213@example.com,Ellen,Fabre,891-569-6603,Gold,11894,06-Oct-2022,true
LM-00147,calvin.arellano.000215@example.com,Calvin,Arellano,+19055956665,Gold,32846,06-May-2025,true
LM-00148,adrian.martins.000217@example.com,Adrian,Martins,919-621-6727,Gold,32892,05-Mar-2025,true
LM-00149,donna.rosado.000218@example.com,Donna,Rosado,9266346758,Gold,68591,27-Dec-2023,true
LM-00150,seth.zedillo.000219@example.com,Seth,Zedillo,+19336476789,Gold,52580,24-Dec-2024,true
LM-00151,larry.duarte.000220@example.com,Larry,Duarte,N/A,Platinum,80613,02-Nov-2023,true
LM-00152,karina.texier.000221@example.com,Karina,Texier,947-673-6851,Gold,23983,01-Mar-2023,true
LM-00153,donald.khalsa.000222@example.com,Donald,Khalsa,9546866882,Gold,15924,18-Jan-2023,true
LM-00154,suzanne.salmon.000223@example.com,Suzanne,Salmon,+19616996913,Gold,2267,26-Jul-2025,true
LM-00155,alexandria.parsons.000224@example.com,Alexandria,Parsons,(968) 712-6944,Gold,24923,17-Feb-2024,true
LM-00156,emanuella.bradley.000228@example.com,Emanuella,Bradley,(996) 764-7068,Gold,71618,08-Jan-2023,false
LM-00157,laura.holder.000232@example.com,Laura,Holder,(224) 816-7192,Gold,8685,07-Mar-2023,true
LM-00158,angela.butler.000233@example.com,Angela,Butler,231-829-7223,Gold,17290,14-Sep-2022,true
LM-00159,rodrigo.craig.000234@example.com,Rodrigo,Craig,2388427254,Gold,19876,02-Mar-2025,true
LM-00160,mary.bonilla.000235@example.com,Mary,Bonilla,+12458557285,Gold,38865,22-Jul-2024,true
LM-00161,,Nathalie,Hall,(252) 868-7316,Gold,31940,12-Apr-2024,true
LM-00162,lorenzo.simon.000241@example.com,Lorenzo,Simon,287-933-7471,Gold,23361,25-Jan-2024,true
LM-00163,mirella.luevano.000242@example.com,Mirella,Luevano,2949467502,Gold,10214,22-Aug-2024,true
LM-00164,fabiola.le.000243@example.com,Fabiola,Le,+13019597533,Gold,13074,10-Sep-2022,true
LM-00165,alma.cowan.000244@example.com,Alma,Cowan,(308) 972-7564,Gold,22009,05-Feb-2024,true
LM-00166,kimberlz.aubry.000245@example.com,Kimberly,Aubry,315-985-7595,Gold,46295,02-Oct-2024,true
LM-00167,analuisa.anderson.000246@example.com,Ana Luisa,Anderson,n/a,Gold,37236,19-May-2023,true
LM-00168,natividad.cervantes.000248@example.com,Natividad,Cervantes,(336) 224-7688,Gold,66959,15-Apr-2025,true
LM-00169,wilfrido.granado.000250@example.com,Wilfrido,Granado,3502507750,Platinum,82930,20-Feb-2025,true
LM-00170,christopher.galloway.000252@example.com,Christopher,Galloway,(364) 276-7812,Gold,7362,31-Jul-2024,true
LM-00171,aaron.santos.000253@example.com,Aaron,Santos,371-289-7843,Gold,2098,30-Jul-2025,true
LM-00172,gardner.kenneth.000254@example.com,Kenneth,Gardner,3783027874,Gold,11078,24-Jun-2025,true
LM-00173,ravy.delvalle.000258@example.com,Ravy,del Valle,4063547998,Gold,57540,25-Jul-2024,true
LM-00174,richard.mueller.000260@example.com,Richard,Mueller,(420) 380-8060,Platinum,89432,22-Dec-2024,true
LM-00175,modesto.marques.000262@example.com,Modesto,Marques,4344068122,Gold,2326,18-Nov-2024,true
LM-00176,carlota.damata.000263@example.com,Carlota,da Mata,+14414198153,Gold,23194,19-Aug-2024,true
LM-00177,israel.thaman.000264@example.com,Israel,Thaman,(448) 432-8184,Gold,20679,01-Nov-2024,true
LM-00178,jill.thompson.000265@example.com,Jill,Thompson,455-445-8215,Gold,26929,06-Oct-2024,true
LM-00179,eric.howard.000266@example.com,Eric,Howard,4624588246,Gold,32501,20-Jul-2024,true
LM-00180,louis.henry.000267@example.com,Louis,Henry,+14694718277,Gold,27208,10-Apr-2023,true
LM-00181,,Valerie,Holt,(476) 484-8308,Gold,51029,24-Jan-2025,false
LM-00182,kaitlyn.woodard.000269@example.com,Kaitlyn,Woodard,483-497-8339,Gold,60827,30-Sep-2023,true
LM-00183,payne.stephen.000271@example.com,Stephen,Payne,+14975238401,Gold,16847,18-Jan-2025,true
LM-00184,kirk.myers.000272@example.com,Kirk,Myers,N/A,Gold,7798,06-Apr-2023,true
LM-00185,michael.mccoy.000273@example.com,Michael,Mccoy,511-549-8463,Gold,9125,06-Jul-2025,true
LM-00186,ricardo.morrow.000274@example.com,Ricardo,Morrow,5185628494,Gold,21921,25-Sep-2023,true
LM-00187,randy.vasquez.000277@example.com,Randy,Vasquez,539-601-8587,Gold,42669,08-Jan-2024,false
LM-00188,ricky.fletcher.000279@example.com,Ricky,Fletcher,+15536278649,Gold,73702,20-Jan-2024,true
LM-00189,damon.moore.000282@example.com,Damon,Moore,n/a,Gold,15488,08-Feb-2024,true
LM-00190,maureen.figueroa.000284@example.com,Maureen,Figueroa,(588) 692-8804,Gold,15498,24-Nov-2024,true
LM-00191,savannah.meyer.000286@example.com,Savannah,Meyer,6027188866,Gold,31239,21-Dec-2022,false
LM-00192,corey.mata.000288@example.com,Corey,Mata,(616) 744-8928,Gold,53176,19-Jan-2023,true
LM-00193,lorraine.herrera.000289@personal.example.com,Lorraine,Herrera,623-757-8959,Gold,71593,13-Aug-2024,true
LM-00194,jack.cardona.000290@example.com,Jack,Cardona,6307708990,Platinum,103249,13-Apr-2023,true
LM-00195,carrie.wise.000291@example.com,Carrie,Wise,+16377839021,Gold,11609,08-Mar-2023,true
LM-00196,edwin.arroyo.000292@example.com,Edwin,Arroyo,(644) 796-9052,Gold,13879,31-Dec-2024,true
LM-00197,jermaine.angulo.000294@example.com,Jermaine,Angulo,6588229114,Gold,15303,22-Aug-2022,true
LM-00198,samantha.dyal.000295@example.com,Samantha,Dyal,+16658359145,Gold,48890,22-Jul-2025,true
LM-00199,jasmine.valles.000296@example.com,Jasmine,Valles,(672) 848-9176,Gold,26775,08-Apr-2024,true
LM-00200,thomas.phillips.000300@example.com,Thomas,Phillips,(700) 900-9300,Platinum,81449,05-Nov-2023,true
LM-00201,,Manuel,Ellis,707-913-9331,Gold,1986,06-Sep-2023,true
LM-00202,bertrand.nunes.000302@personal.example.com,Bertrand,Nunes,7149269362,Gold,13193,29-Oct-2022,true
LM-00203,upasna.harrell.000303@example.com,Upasna,Harrell,+17219399393,Gold,23862,04-Jun-2023,true
LM-00204,amy.aguirre.000304@example.com,Amy,Aguirre,(728) 952-9424,Gold,11118,05-May-2024,true
LM-00205,jeremy.mcdaniel.000305@example.com,Jeremy,Mcdaniel,735-965-9455,Gold,28580,26-Sep-2023,true
LM-00206,luke.mercado.000307@example.com,Luke,Mercado,+17499919517,Gold,31278,30-May-2024,false
LM-00207,wanda.medina.000308@example.com,Wanda,Medina,(756) 204-9548,Gold,56232,17-Apr-2025,true
LM-00208,edhitha.cunningham.000310@example.com,Edhitha,Cunningham,7702309610,Platinum,104400,26-Aug-2023,true
LM-00209,rita.crawfore.000311@example.com,Rita,Crawford,+17772439641,Platinum,75000,07-May-2023,false
LM-00210,danielle.andrade.000312@example.com,Danielle,Andrade,(784) 256-9672,Gold,13824,10-Jun-2025,true
LM-00211,kyle.hayes.000314@example.com,Kyle,Hayes,7982829734,Gold,9127,03-Aug-2023,true
LM-00212,wesley.mosley.000315@example.com,Wesley,Mosley,+18052959765,Gold,40159,03-Jan-2025,true
LM-00213,audrey.day.000316@example.com,Audrey,Day,(812) 308-9796,Gold,33185,01-Oct-2022,true
LM-00214,destiny.barry.000317@example.com,Destiny,Barry,819-321-9827,Gold,27470,20-Mar-2023,true
LM-00215,lemus.berta.000319@example.com,Berta,Lemus,+18333479889,Gold,68033,19-Sep-2023,true
LM-00216,tammy.soliz.000320@example.com,Tammy,Soliz,(840) 360-9920,Platinum,81416,15-Oct-2023,false
LM-00217,juliana.seguin.000321@example.com,Juliana,Seguin,847-373-9951,Gold,1657,17-Oct-2022,true
LM-00218,nihal.maestas.000322@example.com,Nihal,Maestas,8543869982,Gold,21369,03-Jun-2024,true
LM-00219,angel.villanueva.000323@example.com,Angel,Villanueva,+18613990013,Gold,17713,14-Oct-2023,true
LM-00220,enzo.clark.000324@example.com,Enzo,Clark,(868) 412-0044,Gold,483,29-Aug-2022,true
LM-00221,,Reginald,Graham,+19175030261,Gold,15773,09-Jun-2025,true
LM-00222,dana.grenier.000332@example.com,Dana,Grenier,(924) 516-0292,Gold,7004,07-Dec-2023,false
LM-00223,gustavo.hicks.000333@example.com,Gustavo,Hicks,931-529-0323,Gold,13141,21-Nov-2023,true
LM-00224,whitney.martin.000334@example.com,Whitney,Martin,9385420354,Gold,1921,06-Mar-2024,true
LM-00225,ofelia.anand.000335@example.com,Ofelia,Anand,+19455550385,Gold,30394,15-Feb-2024,true
LM-00226,andrew.johnson.000336@example.com,Andrew,Johnson,(952) 568-0416,Gold,37418,12-Aug-2024,true
LM-00227,alexander.burton.000338@example.com,Alexander,Burton,9665940478,Gold,62793,06-Dec-2022,true
LM-00228,sandra.novais.000340@example.com,Sandra,Novais,(980) 620-0540,Platinum,104819,17-Aug-2024,true
LM-00229,jared.berthelot.000341@example.com,Jared,Berthelot,987-633-0571,Gold,9347,26-Aug-2023,true
LM-00230,brent.lawson.000342@example.com,Brent,Lawson,9946460602,Gold,13861,17-Jul-2025,true
LM-00231,shaun.choi.000343@example.com,Shaun,Choi,+12016590633,Gold,22825,28-Jan-2024,true
LM-00232,alan.bush.000345@example.com,Alan,Bush,215-685-0695,Gold,43211,12-Sep-2023,true
LM-00233,malik.gregory.000347@example.com,Malik,Gregory,+12297110757,Gold,48540,09-Sep-2024,true
LM-00234,dean.mcknight.000348@example.com,Dean,Mcknight,(236) 724-0788,Gold,65947,29-Sep-2022,true
LM-00235,nathan.church.000352@example.com,Nathan,Church,,Gold,7133,27-Jun-2025,true
LM-00236,jenna.stone.000353@example.com,Jenna,Stone,271-789-0943,Gold,1916,02-Dec-2022,true
LM-00237,bridget.warren.000354@example.com,Bridget,Warren,2788020974,Gold,18978,20-Oct-2024,true
LM-00238,jamie.howell.000357@example.com,Jamie,Howell,299-841-1067,Gold,26997,30-Jan-2025,true
LM-00239,traci.west.000358@example.com,Traci,West,3068541098,Gold,74509,11-May-2023,true
LM-00240,sheri.ferreira.000359@example.com,Sheri,Ferreira,+13138671129,Gold,60276,20-Oct-2024,false
LM-00241,,Sharon,Segovia,327-893-1191,Gold,1643,24-May-2024,true
LM-00242,terri.foster.000362@example.com,Terri,Foster,3349061222,Gold,19142,24-Jun-2025,true
LM-00243,jonathon.burgos.000363@example.com,Jonathon,Burgos,+13419191253,Gold,15623,19-Jan-2023,true
LM-00244,alison.roque.000364@example.com,Alison,Roque,(348) 932-1284,Gold,16477,28-Aug-2022,true
LM-00245,lance.heredia.000365@example.com,Lance,Heredia,355-945-1315,Gold,42403,05-Aug-2023,true
LM-00246,laurie.spears.000366@example.com,Laurie,Spears,3629581346,Gold,30158,22-Apr-2025,true
LM-00247,faith.garica.000368@example.com,Faith,Garica,(376) 984-1408,Gold,66640,17-May-2024,true
LM-00248,wendy.navarro.000369@example.com,Wendy,Navarro,383-997-1439,Gold,52625,07-Jul-2025,true
LM-00249,dulce.delatorre.000371@example.com,Dulce,de la Torre,+13972231501,Gold,2245,09-Oct-2024,false
LM-00250,chelsea.cardenas.000372@example.com,Chelsea,Cardenas,(404) 236-1532,Gold,19498,28-Oct-2022,true
LM-00251,maryse.house.000373@example.com,Maryse,House,411-249-1563,Gold,2226,02-Apr-2025,true
LM-00252,patricia.ramos.000374@example.com,Patricia,Ramos,4182621594,Gold,22125,27-Jan-2023,false
LM-00253,alonso.chaudhuri.000375@example.com,Alonso,Chaudhuri,+14252751625,Gold,32707,06-Jan-2025,true
LM-00254,ronald.carre.000377@example.com,Ronald,Carre,439-301-1687,Gold,28928,09-Jan-2025,true
LM-00255,pauline.silva.000379@example.com,Pauline,Silva,+14533271749,Gold,58067,25-Dec-2024,true
